doc_id,title,country,year,model_used,original_words_used,summary_words,compression_ratio,theme_coverage,generated_summary
AF.document.002MMUCR.n0004,Final evaluation report,MUS,2011,facebook/bart-large-cnn,566,52,0.09187279151943463,1.0,"April Final Report 1 2020 Terminal Evaluation of "" Climate Change Adaptation Programme in the Coastal Zone of Mauritius "" Adaptation Fund Project # : 000622857 UNDP Project #: 00080227 Evaluation Team : Team Leader: Ms. Sohinee Mazumdar Expert : Ms. Fabiola Monty International National i. TERMINAL EVALUATION REPORT CLIMATE CHANGE ADAPTATION PROGRAMME IN THE COASTAL ZONE OF MAURITIUS."
AF.document.004MSBFR.n0007,Final evaluation report,SLB,2011,facebook/bart-large-cnn,534,26,0.04868913857677903,0.6666666666666666,Terminal Evaluation Report Strongem Waka lo Community fo Kaikai ( SWoCK) : Resilience in Agriculture and Food Security in the Solomon Islands Jose Antonio Cabo Bujan Titus Sura.
AF.document.002MMUCR.n0002,Mid-term evaluation report,MUS,2011,facebook/bart-large-cnn,589,39,0.06621392190152801,0.5,"Revised January 26, 2015 Mid - Term Evaluation Report Climate Change Adaptation Programme in the Coastal Zone of Mauritius GOM / UNDP / AFB Project : 00080227 UNDP PIMS # ( 4453 ) October - January 2015 Stephanie Hodge, Canada Kris Valaydon, Mauritius MTE Climate Changeadaptation Programme."
AF.document.005MNIWR.n0001,Inception report,NIC,2010,facebook/bart-large-cnn,551,49,0.08892921960072596,1.0,"Workshop to launch the Flood and Drought Risk and Vulnerability Reduction Project in the Estero Real River Basin Managua, 21 y 23 de Junio, ManagUA, June 21 and 23, ADAPTATION FUND ADAPtation FUND El Sauce, 23 y 24 de Juniio del 2011 El Sauce, June 23 and 24, 2011."
AF.document.003MTMWR.n0002,Mid-term evaluation report,TKM,2011,facebook/bart-large-cnn,538,47,0.08736059479553904,0.3333333333333333,Addressing climate change risks to farming systems in Turkmenistan at national and community level. Project - supported construction of a traditional water storage pit for collecting surface run - off from the nearby natural Takyr depression. Outcome 1: Institutional capacity to develop climate resilient water policies in agriculture strengthened.
AF.document.004MSBFR.n0006,Mid-term evaluation report,SLB,2011,facebook/bart-large-cnn,527,62,0.11764705882352941,0.75,MID - TERM EVALUATION of the Enhancing Resilience of Communities in Solomon Islands to the Adverse Effects of Climate Change in Agriculture and Food Security Strogen Waka lo Community fo Kaikai SWoCK SWo CK Strogem Woka lo community foKaikai ADAPTATION FUND UN DP January 2014 By Jennifer Tugunau and BenceFülöp 2 / 105 Project Title: Enhancing resilience of communities inSolomon Islands to climate change.
AF.document.005MNIWR.n0000,Project document,NIC,2010,facebook/bart-large-cnn,526,65,0.12357414448669202,1.0,"A project / programme must be fully prepared ( i. e., fully appraised for feasibility ) when the request is submitted. The final project / programmes document resulting from the appraisal process should be attached to this request for funding. The Adaptation Fund Board Secretariat 1818 H Street NW MSN G6 - 602 Washington, DC. 20433 U. S. A Fax : + 1 ( 202 ) 522 - 3240 / 5 Email : secretariat @ adaptation - fund. org"
AF.document.003MTMWR.n0000,Project document,TKM,2011,facebook/bart-large-cnn,569,73,0.1282952548330404,0.3333333333333333,Climate change is projected to have significant impacts on water resources in an already arid Turkmenistan. The Government of Turkmanistan is proposing to take a comprehensive approach to water adaptation in the agricultural sector. This initiative aims to increase resilience in 3 different agro - climatic zones in Turkmenism by implementing hard water efficiency and irrigation measures. It focuses on increasing the resilience of water resources for the most vulnerable and water - stressed communities.
AF.document.002MMUCR.n0001,Inception report,MUS,2011,facebook/bart-large-cnn,575,71,0.12347826086956522,1.0,"Mauritius has secured a grant of USD 9, 119, 240 from the Adaptation Fund for the implementation of the project "" Climate Change Adaptation Programme in the Coastal Zone of Mauritius "" over a duration of five years. The inception workshop was held on the 30th August 2012 at Hennessy Park Hotel, Ebene to officially launch the project. The afternoon session involved a more in - depth technical discussions and presentations with working groups."
AF.document.002MMUCR.n0003,Project completion report,MUS,2011,facebook/bart-large-cnn,573,38,0.06631762652705062,0.6666666666666666,"The Republic of Mauritius secured a grant of USD 9, 119, 240 in 2012 from the Adaptation Fund Board for implementation of the project. The objective is to increase climate resilience of communities and livelihoods in coastal areas."
